state,group,grade,sub,vgap,vgapse,sesgap,resid,incV,edV,unemprat,povrat,enrl,fips,y1sesgap,y2sesgap,x1sesgap,x2sesgap,y1incV,y2incV,x1incV,x2incV,y1edV,y2edV,x1edV,x2edV,vgapse2,seweight,y1unemprat,y2unemprat,x1unemprat,x2unemprat,y1povrat,y2povrat,x1povrat,x2povrat
"DE","blk",4,"math",.956,.0221,.2921216,.0574199,.8316102,.4854431,1.67955,2.967099,3213.167,"Delaware",.507,2.207,-.1,1.6,.2297721,1.420677,-1,2,.4695542,1.851122,-.5,2.5,.0004892,2043.998,.85237,1.368426,0,10,.6289541,1.821329,0,11
"DE","hsp",4,"read",.648,.0311,.5988526,-.1016825,.9355209,1.088048,1.643229,3.431767,986.8333,"Delaware",.051,1.751,-.1,1.6,-.4413069,1.422306,-1,2,-.0339986,1.435674,-.5,2.5,.0009682,1032.815,.5585436,1.320314,0,10,.2325985,1.844095,0,11
"DE","hsp",4,"math",.767,.0308,.5804747,-.0559997,.9355209,1.088048,1.643229,3.431767,986.8333,"Delaware",.143,1.843,-.1,1.6,-.3790149,1.504489,-1,2,.0675631,1.480557,-.5,2.5,.0009507,1051.898,.6213536,1.417812,0,10,.2802785,1.986334,0,11
"DE","blk",8,"read",.747,.0221,.2487237,.0374684,.8316102,.4854431,1.67955,2.967099,3213.167,"Delaware",.361,2.061,-.1,1.6,.1607846,1.165672,-1,2,.3933816,1.477607,-.5,2.5,.0004882,2048.264,.6902131,1.108518,0,10,.540767,1.400359,0,11
"DE","blk",8,"math",.934,.0222,.3611898,.0420431,.8316102,.4854431,1.67955,2.967099,3213.167,"Delaware",.431,2.131,-.1,1.6,.1057694,1.473777,-1,2,.4672487,1.820155,-.5,2.5,.0004907,2037.809,.8620538,1.28495,0,10,.5980427,1.855158,0,11
"DE","hsp",8,"read",.573,.0388,.6344238,-.1394889,.9355209,1.088048,1.643229,3.431767,986.8333,"Delaware",-.022,1.678,-.1,1.6,-.4886567,1.399311,-1,2,-.0144324,1.348337,-.5,2.5,.0015063,663.8832,.5188523,1.316976,0,10,.2017192,1.800016,0,11
"DE","hsp",8,"math",.692,.0343,.5580808,-.1336332,.9355209,1.088048,1.643229,3.431767,986.8333,"Delaware",.167,1.867,-.1,1.6,-.2876797,1.450589,-1,2,.147586,1.40787,-.5,2.5,.0011734,852.248,.6211048,1.476643,0,10,.319176,1.891673,0,11
"DC","blk",4,"math",1.88,.0906,1.393778,-.1190591,1.732426,2.250489,9.44879,10.67516,4003.333,"District of Columbia",.507,2.207,-.1,1.6,.2297721,1.420677,-1,2,.4695542,1.851122,-.5,2.5,.0082106,121.7942,.85237,1.368426,0,10,.6289541,1.821329,0,11
"DC","blk",4,"read",1.62,.102,1.324755,-.1843735,1.732426,2.250489,9.44879,10.67516,4003.333,"District of Columbia",.378,2.078,-.1,1.6,.1815398,1.155946,-1,2,.3938085,1.484521,-.5,2.5,.0104698,95.51319,.6717991,1.181764,0,10,.5082991,1.483623,0,11
"DC","hsp",4,"math",1.63,.0683,1.17088,.2165167,1.446821,2.154834,5.699751,5.227718,489.0833,"District of Columbia",.143,1.843,-.1,1.6,-.3790149,1.504489,-1,2,.0675631,1.480557,-.5,2.5,.0046587,214.6512,.6213536,1.417812,0,10,.2802785,1.986334,0,11
"DC","hsp",4,"read",1.53,.0669,1.172725,.2023541,1.446821,2.154834,5.699751,5.227718,489.0833,"District of Columbia",.051,1.751,-.1,1.6,-.4413069,1.422306,-1,2,-.0339986,1.435674,-.5,2.5,.004472,223.6145,.5585436,1.320314,0,10,.2325985,1.844095,0,11
"DC","blk",8,"read",1.32,.12,1.20901,-.3459814,1.732426,2.250489,9.44879,10.67516,4003.333,"District of Columbia",.361,2.061,-.1,1.6,.1607846,1.165672,-1,2,.3933816,1.477607,-.5,2.5,.0143373,69.74812,.6902131,1.108518,0,10,.540767,1.400359,0,11
"DC","blk",8,"math",1.76,.133,1.47543,-.2467698,1.732426,2.250489,9.44879,10.67516,4003.333,"District of Columbia",.431,2.131,-.1,1.6,.1057694,1.473777,-1,2,.4672487,1.820155,-.5,2.5,.0176974,56.50541,.8620538,1.28495,0,10,.5980427,1.855158,0,11
