year,grade,sub,group,trueV,cihi,cilo,fips,unique
1992,4,"read","hsp",1.114153,1.526485,.7018214,"Pennsylvania",181
1992,4,"read","blk",.9901855,1.211627,.7687441,"Rhode_Island",182
1992,4,"read","hsp",1.263093,1.579656,.9465306,"Rhode_Island",183
1992,4,"read","blk",.8664644,.9896516,.7432772,"South_Carolina",184
1992,4,"read","blk",.8330564,.9871162,.6789966,"Tennessee",185
1992,4,"read","blk",.8275762,1.059878,.595274,"Texas",186
1992,4,"read","hsp",.7638134,.9515033,.5761235,"Texas",187
1992,4,"read","hsp",.6894931,.9674912,.4114949,"Utah",188
1992,4,"read","blk",.8589694,1.034043,.6838956,"Virginia",189
1992,4,"read","hsp",.4722009,.8992301,.0451717,"Virginia",190
1992,4,"read","blk",.5632826,1.021719,.1048459,"West_Virginia",191
1992,4,"read","blk",.9819419,1.191336,.772548,"Wisconsin",192
1992,4,"read","hsp",.5815646,1.086457,.076672,"Wisconsin",193
1992,4,"read","hsp",.6484576,.842393,.4545221,"Wyoming",194
1992,8,"math","blk",1.091996,1.281762,.9022301,"Alabama",195
1992,8,"math","blk",.8060416,1.078376,.5337069,"Arizona",196
1992,8,"math","hsp",.9110693,1.136743,.6853952,"Arizona",197
1992,8,"math","blk",1.171185,1.342631,.9997397,"Arkansas",198
1992,8,"math","blk",1.260251,1.539353,.9811489,"California",199
1992,8,"math","hsp",1.076476,1.250404,.9025478,"California",200
1992,8,"math","blk",1.183814,1.494381,.8732461,"Colorado",201
1992,8,"math","hsp",.8251621,.9790888,.6712354,"Colorado",202
1992,8,"math","blk",1.35772,1.595702,1.119739,"Connecticut",203
1992,8,"math","hsp",1.398726,1.617482,1.17997,"Connecticut",204
1992,8,"math","blk",.9529881,1.078122,.8278546,"Delaware",205
1992,8,"math","hsp",.7125162,.9997794,.4252531,"Delaware",206
1992,8,"math","blk",1.948106,2.29993,1.596282,"District_of_Columbia",207
1992,8,"math","hsp",1.336073,1.741302,.9308434,"District_of_Columbia",208
1992,8,"math","blk",1.111099,1.261956,.9602413,"Florida",209
1992,8,"math","hsp",.7951154,.9974899,.592741,"Florida",210
1992,8,"math","blk",.9899383,1.118425,.8614517,"Georgia",211
1992,8,"math","blk",.5311385,.844982,.217295,"Hawaii",212
1992,8,"math","hsp",.6174412,.9000309,.3348516,"Hawaii",213
1992,8,"math","hsp",.7176071,.9308258,.5043885,"Idaho",214
1992,8,"math","blk",.9994344,1.184121,.8147482,"Indiana",215
1992,8,"math","hsp",.5550233,.9244977,.1855489,"Indiana",216
1992,8,"math","blk",1.057244,1.343751,.7707381,"Iowa",217
1992,8,"math","hsp",.5093613,.8889086,.1298139,"Iowa",218
1992,8,"math","blk",.7652379,.9363168,.5941591,"Kentucky",219
1992,8,"math","blk",1.041017,1.219443,.8625903,"Louisiana",220
1992,8,"math","hsp",.810992,1.246956,.375028,"Louisiana",221
1992,8,"math","blk",.3066767,.4700423,.1433111,"Maine",222
1992,8,"math","blk",1.158082,1.318806,.997358,"Maryland",223
1992,8,"math","hsp",.8320044,1.231182,.432827,"Maryland",224
1992,8,"math","blk",1.02758,1.334318,.7208427,"Massachusetts",225
1992,8,"math","hsp",1.234596,1.534496,.9346957,"Massachusetts",226
1992,8,"math","blk",1.442184,1.64131,1.243058,"Michigan",227
1992,8,"math","hsp",.7665573,1.337567,.1955474,"Michigan",228
1992,8,"math","blk",1.069043,1.602282,.5358043,"Minnesota",229
1992,8,"math","hsp",.9885775,1.485802,.4913532,"Minnesota",230
1992,8,"math","blk",1.09244,1.222072,.9628072,"Mississippi",231
1992,8,"math","blk",1.140714,1.372601,.9088268,"Missouri",232
1992,8,"math","hsp",.4864247,.9328311,.0400182,"Missouri",233
1992,8,"math","blk",1.482939,1.88146,1.084417,"Nebraska",234
1992,8,"math","hsp",.8525783,1.130875,.5742812,"Nebraska",235
1992,8,"math","blk",1.342438,1.56864,1.116237,"New_Jersey",236
1992,8,"math","hsp",1.215305,1.521343,.9092669,"New_Jersey",237
1992,8,"math","blk",1.14441,1.476797,.8120226,"New_Mexico",238
1992,8,"math","hsp",.8084283,.9153194,.7015371,"New_Mexico",239
1992,8,"math","blk",1.345644,1.62936,1.061928,"New_York",240
1992,8,"math","hsp",1.171124,1.538128,.8041202,"New_York",241
1992,8,"math","blk",.8822582,.9743494,.790167,"North_Carolina",242
1992,8,"math","blk",1.292603,1.523678,1.061529,"Ohio",243
1992,8,"math","hsp",.6627117,1.142327,.1830966,"Ohio",244
1992,8,"math","blk",1.137355,1.345275,.9294357,"Oklahoma",245
1992,8,"math","hsp",.573827,.9021034,.2455506,"Oklahoma",246
1992,8,"math","blk",1.191024,1.495728,.8863189,"Pennsylvania",247
1992,8,"math","hsp",.8812218,1.260493,.5019502,"Pennsylvania",248
1992,8,"math","blk",.9508698,1.175354,.7263858,"Rhode_Island",249
1992,8,"math","hsp",1.387413,1.630099,1.144728,"Rhode_Island",250
1992,8,"math","blk",1.064005,1.168533,.9594764,"South_Carolina",251
1992,8,"math","blk",1.063321,1.223631,.9030111,"Tennessee",252
1992,8,"math","blk",1.073773,1.23679,.9107564,"Texas",253
1992,8,"math","hsp",.9139639,1.043507,.7844203,"Texas",254
1992,8,"math","hsp",.7202586,.905219,.5352982,"Utah",255
1992,8,"math","blk",.9208882,1.058044,.7837328,"Virginia",256
1992,8,"math","hsp",.3759291,.6694692,.082389,"Virginia",257
1992,8,"math","blk",.5879192,.8189896,.3568487,"West_Virginia",258
1992,8,"math","blk",1.10859,1.565614,.6515659,"Wisconsin",259
1992,8,"math","hsp",1.183754,1.547145,.8203639,"Wisconsin",260
1992,8,"math","hsp",.5244704,.7676426,.2812983,"Wyoming",261
1994,4,"read","blk",.9393165,1.067171,.8114615,"Alabama",262
1994,4,"read","blk",.7823456,1.072139,.4925526,"Arizona",263
1994,4,"read","hsp",.7692806,.9216433,.6169179,"Arizona",264
1994,4,"read","blk",.998899,1.151884,.8459144,"Arkansas",265
1994,4,"read","blk",.8276131,1.108186,.5470403,"California",266
1994,4,"read","hsp",1.057991,1.212542,.9034395,"California",267
1994,4,"read","blk",.8092428,1.051969,.5665166,"Colorado",268
1994,4,"read","hsp",.8398827,.9709769,.7087884,"Colorado",269
1994,4,"read","blk",1.231344,1.589733,.8729541,"Connecticut",270
1994,4,"read","hsp",1.287629,1.575055,1.000202,"Connecticut",271
1994,4,"read","blk",.8167066,.9352257,.6981875,"Delaware",272
1994,4,"read","hsp",.7263151,1.035114,.4175158,"Delaware",273
1994,4,"read","blk",.9971426,1.143017,.8512676,"Florida",274
1994,4,"read","hsp",.6476094,.8300136,.4652051,"Florida",275
1994,4,"read","blk",.9634549,1.130278,.7966322,"Georgia",276
1994,4,"read","hsp",.6899089,1.500294,-.1204763,"Georgia",277
1994,4,"read","blk",.5673819,.797819,.3369448,"Hawaii",278
1994,4,"read","hsp",.6997969,.9677835,.4318103,"Hawaii",279
1994,4,"read","blk",.9245463,1.087376,.7617164,"Indiana",280
1994,4,"read","hsp",.6254119,.9531007,.297723,"Indiana",281
1994,4,"read","blk",1.02226,1.410714,.6338064,"Iowa",282
1994,4,"read","hsp",.3108287,.7538821,-.1322248,"Iowa",283
1994,4,"read","blk",.684251,.8657767,.5027252,"Kentucky",284
1994,4,"read","blk",1.103588,1.252733,.9544433,"Louisiana",285
1994,4,"read","hsp",.2079298,.5913922,-.1755325,"Louisiana",286
1994,4,"read","blk",.9368435,1.073838,.7998491,"Maryland",287
1994,4,"read","hsp",.4631829,.8045063,.1218595,"Maryland",288
1994,4,"read","blk",.9781745,1.213642,.7427071,"Massachusetts",289
1994,4,"read","hsp",1.335471,1.649847,1.021096,"Massachusetts",290
1994,4,"read","blk",.9237056,1.335502,.5119091,"Minnesota",291
1994,4,"read","hsp",.6777937,1.19082,.1647675,"Minnesota",292
1994,4,"read","blk",.97748,1.116778,.8381824,"Mississippi",293
1994,4,"read","blk",.8404602,1.051236,.6296842,"Missouri",294
1994,4,"read","hsp",.3761433,.9718618,-.2195752,"Montana",295
1994,4,"read","blk",.9107422,1.299508,.5219761,"Nebraska",296
1994,4,"read","hsp",.5918064,.8981631,.2854497,"Nebraska",297
1994,4,"read","blk",.085539,.6603655,-.4892875,"New_Hampshire",298
1994,4,"read","blk",1.060761,1.289245,.8322769,"New_Jersey",299
1994,4,"read","hsp",.9923778,1.232381,.7523745,"New_Jersey",300
1994,4,"read","blk",.6814443,.9818772,.3810114,"New_Mexico",301
1994,4,"read","hsp",.6132279,.751211,.4752448,"New_Mexico",302
1994,4,"read","blk",1.018245,1.181204,.8552873,"New_York",303
1994,4,"read","hsp",.9042863,1.10873,.699843,"New_York",304
1994,4,"read","blk",.8763069,1.004623,.7479912,"North_Carolina",305
1994,4,"read","hsp",.5696214,1.042965,.096278,"North_Carolina",306
1994,4,"read","blk",.6170729,1.147264,.0868814,"North_Dakota",307
1994,4,"read","hsp",.281572,.7301818,-.1670377,"North_Dakota",308
1994,4,"read","blk",1.268531,1.516765,1.020298,"Pennsylvania",309
1994,4,"read","hsp",.987511,1.468159,.5068628,"Pennsylvania",310
1994,4,"read","blk",.8256893,.9881151,.6632634,"Rhode_Island",311
1994,4,"read","hsp",.8525386,1.052884,.6521932,"Rhode_Island",312
1994,4,"read","blk",1.081071,1.204378,.9577631,"South_Carolina",313
1994,4,"read","hsp",.5510536,1.035689,.066418,"South_Carolina",314
1994,4,"read","blk",.8798676,1.03746,.7222755,"Tennessee",315
1994,4,"read","blk",.9829637,1.24572,.7202077,"Texas",316
1994,4,"read","hsp",.8321182,.973416,.6908203,"Texas",317
1994,4,"read","hsp",.64886,.8989754,.3987446,"Utah",318
1994,4,"read","blk",1.001662,1.163385,.8399394,"Virginia",319
1994,4,"read","hsp",.3776768,.6478671,.1074865,"Virginia",320
1994,4,"read","blk",.5481736,.7394431,.3569041,"Washington",321
1994,4,"read","hsp",.8241084,1.057416,.590801,"Washington",322
1994,4,"read","blk",.3736486,.5947085,.1525887,"West_Virginia",323
1994,4,"read","blk",.9368221,1.188305,.685339,"Wisconsin",324
1994,4,"read","hsp",.8707458,1.280181,.4613101,"Wisconsin",325
1994,4,"read","blk",.4220808,.9171923,-.0730307,"Wyoming",326
1994,4,"read","hsp",.5159389,.7576897,.274188,"Wyoming",327
1996,4,"math","blk",1.157445,1.314889,1.000002,"Alabama",328
1996,4,"math","blk",.9493847,1.256189,.6425804,"Alaska",329
1996,4,"math","hsp",.7123278,1.078379,.3462763,"Alaska",330
1996,4,"math","blk",1.164303,1.492834,.835771,"Arizona",331
1996,4,"math","hsp",.9730808,1.168094,.7780675,"Arizona",332
1996,4,"math","blk",1.174334,1.357816,.9908527,"Arkansas",333
1996,4,"math","blk",1.281167,1.500565,1.061769,"California",334
1996,4,"math","hsp",.9772598,1.186335,.7681847,"California",335
1996,4,"math","blk",1.230235,1.553843,.9066274,"Colorado",336
1996,4,"math","hsp",.8214687,.9655858,.6773515,"Colorado",337
1996,4,"math","blk",1.289904,1.575396,1.004412,"Connecticut",338
1996,4,"math","hsp",1.352509,1.677717,1.027302,"Connecticut",339
1996,4,"math","blk",1.102201,1.268132,.9362696,"Delaware",340
1996,4,"math","hsp",1.101579,1.499432,.7037257,"Delaware",341
1996,4,"math","blk",2.18571,2.463709,1.907711,"District_of_Columbia",342
1996,4,"math","hsp",1.630739,2.172646,1.088832,"District_of_Columbia",343
1996,4,"math","blk",1.223671,1.398764,1.048578,"Florida",344
1996,4,"math","hsp",.6294608,.8307649,.4281568,"Florida",345
1996,4,"math","blk",.8202242,.9964326,.6440158,"Georgia",346
1996,4,"math","hsp",.7048478,1.002205,.4074902,"Georgia",347
1996,4,"math","blk",.6161031,.9452537,.2869524,"Hawaii",348
1996,4,"math","hsp",.507854,.7991443,.2165637,"Hawaii",349
1996,4,"math","blk",1.110048,1.344086,.8760105,"Indiana",350
1996,4,"math","hsp",.8796389,1.188352,.5709257,"Indiana",351
1996,4,"math","blk",.9817618,1.282451,.6810725,"Iowa",352
1996,4,"math","hsp",.7907639,1.17764,.4038872,"Iowa",353
1996,4,"math","blk",.7286013,.8688691,.5883335,"Kentucky",354
1996,4,"math","blk",1.111129,1.269986,.9522708,"Louisiana",355
1996,4,"math","hsp",.6617523,1.174936,.1485683,"Louisiana",356
1996,4,"math","blk",1.16839,1.350869,.9859107,"Maryland",357
1996,4,"math","hsp",.6233508,.9220189,.3246826,"Maryland",358
1996,4,"math","blk",1.032343,1.362889,.7017958,"Massachusetts",359
1996,4,"math","hsp",1.040199,1.321091,.7593071,"Massachusetts",360
1996,4,"math","blk",1.246577,1.5393,.9538543,"Michigan",361
1996,4,"math","hsp",.8770398,1.156453,.5976266,"Michigan",362
1996,4,"math","blk",1.36438,1.704442,1.024318,"Minnesota",363
1996,4,"math","hsp",.81894,1.153748,.4841321,"Minnesota",364
1996,4,"math","blk",1.057606,1.192393,.9228199,"Mississippi",365
1996,4,"math","blk",1.173191,1.38484,.9615421,"Missouri",366
1996,4,"math","hsp",.2382409,.6785408,-.2020591,"Missouri",367
1996,4,"math","hsp",.4166168,.9178082,-.0845747,"Montana",368
1996,4,"math","blk",1.189971,1.482132,.8978096,"Nebraska",369
1996,4,"math","hsp",1.054916,1.487836,.6219963,"Nebraska",370
1996,4,"math","blk",1.054474,1.314124,.7948238,"Nevada",371
1996,4,"math","hsp",.7527699,.9221556,.5833842,"Nevada",372
1996,4,"math","blk",1.373397,1.647371,1.099423,"New_Jersey",373
1996,4,"math","hsp",1.194057,1.539431,.8486821,"New_Jersey",374
1996,4,"math","blk",.8079745,1.364308,.2516415,"New_Mexico",375
1996,4,"math","hsp",.8161837,.9525654,.6798019,"New_Mexico",376
1996,4,"math","blk",1.05333,1.297875,.8087842,"New_York",377
1996,4,"math","hsp",1.060903,1.291708,.8300973,"New_York",378
1996,4,"math","blk",1.112389,1.239505,.9852732,"North_Carolina",379
1996,4,"math","hsp",.9558139,1.630258,.2813702,"North_Carolina",380
1996,4,"math","blk",.519973,1.254878,-.2149322,"North_Dakota",381
1996,4,"math","hsp",.5454925,1.22348,-.1324955,"North_Dakota",382
1996,4,"math","blk",.2496775,.6729318,-.1735769,"Oregon",383
1996,4,"math","hsp",1.011702,1.265948,.7574553,"Oregon",384
1996,4,"math","blk",1.368901,1.587963,1.149838,"Pennsylvania",385
1996,4,"math","hsp",1.121621,1.415234,.8280084,"Pennsylvania",386
1996,4,"math","blk",1.102187,1.408633,.7957397,"Rhode_Island",387
1996,4,"math","hsp",1.224636,1.509342,.9399306,"Rhode_Island",388
1996,4,"math","blk",1.000898,1.121359,.8804361,"South_Carolina",389
1996,4,"math","blk",1.005536,1.20454,.8065309,"Tennessee",390
1996,4,"math","blk",1.103189,1.282412,.9239649,"Texas",391
1996,4,"math","hsp",.9116932,1.087965,.7354215,"Texas",392
1996,4,"math","hsp",.8661357,1.137363,.5949079,"Utah",393
1996,4,"math","blk",.4123442,.9813133,-.156625,"Vermont",394
1996,4,"math","blk",1.011702,1.151943,.8714603,"Virginia",395
1996,4,"math","hsp",.5682933,.9602712,.1763154,"Virginia",396
