year,grade,sub,group,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District_of_Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New_Hampshire,New_Jersey,New_Mexico,New_York,North_Carolina,North_Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode_Island,South_Carolina,South_Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West_Virginia,Wisconsin,Wyoming
2005,4,"read","hsp",.34057564,.49004161,.84915555,.4198539,.93670934,.83146107,.95093513,.67622149,1.6965039,.40670681,.71083999,.34187981,.84706867,.91059166,.55164427,.67650187,.68093735,-.04187893,.266509,.31314787,.69608849,1.1777816,.60069138,.75487018,.28692195,.50190789,.02326175,.83093768,.70410401,.42906183,.78914219,.75202262,.7718702,.6917128,.71343744,.52894139,.48541385,.84689838,.75105739,.90140224,.27681628,.92491025,.69753516,.72834915,.80317724,.13790828,.50773907,.80138588,9999,.56955099,.68423599
2007,4,"read","hsp",.75543499,.65657061,.7486499,.68707782,.93638468,.92472142,1.0387801,.54909849,1.7087365,.45348585,.58519852,.57841736,.73578686,.71860582,.5888465,.61681163,.65343106,.35660577,.19293807,.43243521,.73856145,1.0621358,.5299198,.86096728,.52542418,.42152742,.31248534,.82175308,.74049371,.63188189,.77743649,.70531303,.83162099,.67332101,.51549315,.63379908,.69745678,.8854847,.95607245,.84845871,.57096457,.62694407,.45708206,.67488855,.7582646,.16949217,.56925255,.67591363,-.07265064,.69926202,.56074739
2009,4,"read","hsp",.70421594,.33176392,.77387553,.63632983,.94627774,.95257229,1.0454887,.64497966,1.5383493,.35242477,.62173504,.32330889,.73737365,.82903773,.71113062,.49141636,.61754453,.45778871,.43686116,.22947714,.48228955,.97966999,.57183778,1.0036699,.41912237,.36645442,.33341223,.62539279,.65062326,.36274517,.86205781,.67045337,.68085957,.75330186,.47333422,.45174065,.51093084,.76144212,.89527595,.89433765,.62450528,.30637676,.61597455,.74650198,.9457081,.36829776,.59714466,.84099185,.20386079,.74409378,.40393734
2011,4,"read","hsp",.76304239,.31293702,.65005547,.57378978,.91817051,.94774956,1.0314671,.69818401,1.4434606,.49095699,.49704334,.48459521,.7171768,.78388488,.64460641,.68909627,.61345434,.11599504,.38092005,.17384413,.52317959,.94952041,.58841616,.89373052,.40191802,.46183005,.39397961,.65530276,.58844125,.45992857,.79341447,.67490643,.71755004,.76536083,.47345322,.61912769,.42780644,.74618018,.90627104,.81001294,.49933726,.50164032,.54994059,.76957375,.83573502,.44864532,.75787562,.82345998,.61307615,.76266891,.47180548
2013,4,"read","hsp",.66763723,.39397672,.71479785,.40273228,.86986113,.78430408,.89000475,.60243416,1.4712816,.37985542,.58114278,.53781754,.70668727,.73545396,.4246909,.47250614,.63720989,.20940323,.3533704,9999,.64406663,.96547151,.43959442,.71783316,.49758789,.26477236,.41385341,.6126982,.66332483,.77595448,.83093256,.64188653,.67816776,.64292896,.32473591,.5259167,.53157765,.66800714,.7056272,.86580622,.35167059,.49539566,.61785412,.82492399,.89381534,9999,.69207281,.73528767,9999,.74627382,.44748458
1990,8,"math","blk",1.1308687,9999,.91515326,1.3834685,1.2510431,1.3006328,1.2248801,.90167385,2.1057932,1.1311095,1.0506901,.69334853,9999,1.3267519,1.0876123,.99970067,9999,.64921039,1.1503509,9999,1.1646614,9999,1.530414,1.3968025,9999,9999,9999,1.6035178,9999,9999,1.44537,1.195048,1.317698,1.0730513,9999,1.2871574,1.244525,1.0124843,1.2948148,1.2597613,9999,9999,9999,1.4397194,9999,9999,.98659205,9999,.88374949,1.5685773,9999
1992,8,"math","blk",1.0919961,9999,.8060416,1.1711854,1.2602508,1.1838136,1.3577204,.95298809,1.9481061,1.1110989,.98993826,.53113848,9999,1.2707921,.99943441,1.0572444,9999,.76523793,1.0410167,.30667675,1.1580819,1.0275803,1.4421841,1.069043,1.0924395,1.1407138,9999,1.4829386,9999,9999,1.3424382,1.1444098,1.3456444,.88225824,9999,1.2926035,1.1373553,.98336013,1.1910236,.9508698,1.0640047,9999,1.0633212,1.073773,9999,9999,.92088819,9999,.58791918,1.1085898,9999
1996,8,"math","blk",1.2738383,1.2202991,.80800742,1.1305006,.92387843,.90507996,1.3799469,1.0445832,1.9850127,1.331773,1.1587087,.57118523,9999,1.1588725,1.1422439,.89086264,9999,.73570216,1.2169845,.33129425,1.3009241,1.0106026,1.1935909,1.2347683,1.0982018,1.1585172,9999,1.1198237,9999,9999,1.3022513,.95735389,1.191105,.94916111,.72918338,1.1596367,1.0440991,.92511177,1.1944347,.98981345,.9549883,9999,1.1118746,1.242913,9999,9999,1.1632499,1.0784714,.68635839,1.5435628,9999
2000,8,"math","blk",1.0978833,1.0180976,1.0975795,1.2318485,1.1252528,1.0640745,1.5732841,.97080416,2.0049422,1.2037197,1.0663841,.63637418,9999,1.0469528,.88042682,.93434508,.93699771,.73627931,1.2680522,.35591176,1.2376957,1.0387139,1.4629261,1.4420633,1.0857431,1.2374254,9999,1.2074761,.85809088,9999,1.2620644,.69615471,1.0777177,1.1297723,.82694572,1.0266699,.9508428,.90103501,1.1978457,1.0574346,.9969632,9999,1.0238336,1.1484361,.80813372,9999,1.0608279,.83577497,.6656478,1.5323181,9999
2003,8,"math","blk",1.0609214,.86644644,.91388446,1.0735984,1.0687336,1.1833204,1.194904,.91546988,2.3329253,1.1076797,1.0279634,.40089926,9999,1.2429122,1.0756152,.96695691,1.2518141,.79147398,1.014413,.3743749,.98369491,1.0631242,1.3083555,1.2644942,1.0365523,1.109172,9999,1.2240413,.87920672,.90153885,1.2319242,.94901091,1.1744149,1.0527383,.90026748,1.0185963,.92886603,.57108742,1.200404,1.0913281,1.110587,.88039368,1.0410242,1.059649,.8813929,.59744287,.94778693,.65375262,.60914075,1.5238847,.27884471
2005,8,"math","blk",1.0743207,.66498613,.77451205,1.1810237,1.0243489,1.1044357,1.3428917,.92180282,2.1335773,1.0296776,.90991038,.15802746,.3699618,1.2840637,.95168948,.98339981,.99705446,.64038455,1.0115458,.78690672,1.0290984,1.028428,1.1528515,1.3412875,1.1143073,1.2134417,9999,1.5368292,.98091298,.47953677,1.0560863,.656066,1.0191178,.89780504,.49567977,1.0971674,.9184618,.8393954,1.1620327,1.0318644,1.0635254,1.0230135,1.0351948,1.0045519,.83930439,.8748495,1.0287265,.69641072,.60898477,1.43329,.61732692
2007,8,"math","blk",1.0204796,.79360062,.71406627,.846044,1.0087403,.73025924,1.1600648,1.0273559,2.2273068,.89885712,.87381798,.25264871,.67861634,1.1723627,1.0314757,.98880631,.93720621,.77255154,.93297559,.58323324,1.1384951,1.3092064,1.2523985,1.1049575,1.0056348,1.1560292,9999,1.4935772,.74265325,.74952167,1.0936912,.67291754,1.0170825,.95010513,.857732,1.0704646,.77875674,.43493778,1.0619657,.98664069,.86193264,.52479523,.93066674,.9948045,1.0075812,.39532208,.9330852,.73446894,.74038726,1.4217763,.58473724
2009,8,"math","blk",.98275137,.83383554,.6151588,1.0295764,1.0596229,1.0637745,1.1785799,.9183681,2.1684265,.77137762,.85836643,.34333551,.76164538,1.2413301,.8466782,.8643235,.9334569,.77420425,.89725095,.7958864,1.161124,.97398067,1.1939688,1.1652684,.98847669,1.0059716,.70786136,1.1148849,.97981596,.46687952,1.0471958,.83025122,1.0199875,1.0498862,.72921526,1.0275595,.69636059,.81073397,1.0167161,.9248836,.92980427,.8193574,.85278857,.97140086,.68903971,.53488564,.82967603,.81603217,.22827068,1.2540023,.70329976
2011,8,"math","blk",.94390619,.79464608,.75266355,.98010188,1.0276089,1.0509869,1.1232787,.91404951,1.8514879,.8951987,.91323519,.41348746,.52823836,1.0748041,.86716747,.92156273,.8794511,.74478108,.77110064,.64530098,1.0754085,.87864125,1.1387748,1.0834002,.93829602,1.0516557,.22440892,1.1153573,1.0333579,.61843389,1.0139779,.8033061,.85631442,.90662628,1.1314489,1.0925022,.81797051,.69760394,1.1500127,.98676401,.92951977,.78893077,.84960353,.93563288,.83952504,.85494512,.85942489,.87809098,.43315163,1.2180966,.87380433
